year,team,player,goals,shots,mins,gps
2016,PHI,Steve Mason,12,81,176,-0.1370440755457881
2016,PIT,Jeff Zatkoff,6,65,117,0.2501689284775136
2016,PIT,Marc-Andre Fleury,4,32,79,0.019357614188902156
2016,PIT,Matt Murray,44,575,1267,3.113671938683673
2016,SJS,James Reimer,1,7,29,-0.008168390993607416
2016,SJS,Martin Jones,53,684,1473,3.6385149686195226
2016,STL,Brian Elliott,43,546,1058,2.8356688497789557
2016,STL,Jake Allen,7,68,169,0.1899693593205743
2016,TBL,Andrei Vasilevskiy,20,267,434,1.4886220868136373
2016,TBL,Ben Bishop,18,297,582,2.077301828597502
2016,WSH,Braden Holtby,21,363,732,2.6381474099541635
2017,ANA,John Gibson,38,466,879,2.1871245379001434
2017,ANA,Jonathan Bernier,10,79,183,-0.005052127974972824
2017,BOS,Tuukka Rask,15,187,402,0.9039604073019873
2017,CBJ,Sergei Bobrovsky,20,170,309,0.1495813380817823
2017,CGY,Brian Elliott,12,100,185,0.06313453717711459
2017,CGY,Chad Johnson,1,21,52,0.1738182273538056
2017,CHI,Corey Crawford,12,123,254,0.369198592404593
2017,EDM,Cam Talbot,33,437,799,2.329375496665391
2017,EDM,Laurent Brossoit,2,8,27,-0.10480606171561765
2017,MIN,Devan Dubnyk,10,133,322,0.7135330451678021
2017,MTL,Carey Price,12,179,387,1.1143980312193231
2017,NSH,Juuse Saros,3,17,57,-0.09067342839353992
2017,NSH,Pekka Rinne,42,599,1289,3.5344469562782534
2017,NYR,Henrik Lundqvist,29,395,775,2.1930021663612154
2017,OTT,Craig Anderson,46,590,1178,2.9921565119475857
2017,OTT,Mike Condon,4,32,61,0.003302001944401771
2017,PIT,Marc-Andre Fleury,37,490,867,2.6121272881653166
2017,PIT,Matt Murray,19,303,669,2.0250615674684838
2017,SJS,Martin Jones,11,168,377,1.0736511322252902
2017,STL,Jake Allen,22,336,675,2.1473022644505813
2017,TOR,Frederik Andersen,18,211,403,0.906436908760288
2017,WSH,Braden Holtby,33,364,803,1.3579547996390464
2017,WSH,Philipp Grubauer,2,9,19,-0.09149892887964035
2018,ANA,John Gibson,13,117,217,0.3158255742295189
2018,ANA,Ryan Miller,3,12,20,-0.12697783310513736
2018,BOS,Anton Khudobin,0,8,27,0.10659235089457815
2018,BOS,Tuukka Rask,33,339,687,1.361320915240699
2018,CBJ,Sergei Bobrovsky,22,221,415,0.8409270575180213
